County ,Court,Court Address ,Type
Grayson|15th District Court|200 S. Crockett St., Sherman, Texas 75090|District
Grayson|59th District Court|200 S. Crockett St., Sherman, Texas 75090|District
Grayson|397th District Court|200 S. Crockett St., Sherman, Texas 75090|District
Grayson|County Court at Law 1|100 W. Houston St., Sherman, Texas 75090|County
Grayson|County Court at Law 2|100 W. Houston St., Sherman, Texas 75090|County
Grayson|Justice of the Peace for Precinct 1|100 W Houston St., Sherman, TX 75090|Justice
Grayson|Justice of the Peace for Precinct 2|101 W. Woodard St., Denison, TX 75021|Justice
Grayson|Justice of the Peace for Precinct 3|509 North Union, Whitesboro, TX 76273|Justice
Grayson|Justice of the Peace for Precinct 4|117 S. Main, Van Alstyne, TX 75495|Justice
