"Id";"UserId";"ExternalId";"InvoiceUri";"LevelName";"SessionId";"IsPaymentSuccess";"CompletionDate";"CreateDate"
"6b043ecc-2d0c-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"BawVrPIV8G14XeOs";"NONE";"guest";"NONE";"1";"2024-06-18 00:48:03";"2024-06-18 00:48:03"
"6fbf566d-1e00-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"HYcd8LOzOSno3O4R";"https://localhost:44345/subscription-checkout?sessionid=sub_1PLtpHDhgP60CL9xiU9eJ12Q&id=HYcd8LOzOSno3O4R";"platinum";"sub_1PLtpHDhgP60CL9xiU9eJ12Q";"0";"";"2024-05-29 21:14:29"
"6fc1f477-3c01-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"0cuoTAtP0nGqOLHo";"NONE";"guest";"NONE";"1";"2024-07-07 01:37:13";"2024-07-07 01:37:13"
"71c12ea2-228d-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"c0lzy4YousIGJJjo";"NONE";"guest";"NONE";"1";"2024-06-04 16:13:56";"2024-06-04 16:13:56"
"7231284e-5068-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"DZxSmPDYiiCg9orh";"http://api.legallead.co/subscription-checkout?sessionid=sub_1Pj9c5DhgP60CL9xGitYJd7c&id=DZxSmPDYiiCg9orh";"gold";"sub_1Pj9c5DhgP60CL9xGitYJd7c";"0";"";"2024-08-02 00:44:59"
"723a5305-f482-11ee-b616-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"4nSPndj1q7n3CmyB";"NONE";"guest";"NONE";"1";"2024-04-07 01:59:19";"2024-04-07 01:59:19"
"734b5d93-5469-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"XMrCwqbGua8SHazI";"http://api.legallead.co/subscription-checkout?sessionid=sub_1Pl08gDhgP60CL9xQKv7C267&id=XMrCwqbGua8SHazI";"gold";"sub_1Pl08gDhgP60CL9xQKv7C267";"0";"";"2024-08-07 03:02:15"
"7484e502-1f89-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"zP0BFNvBMzACU0dd";"NONE";"guest";"NONE";"1";"2024-05-31 20:07:49";"2024-05-31 20:07:49"
"7520a64c-1d57-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"OpzePP0XNZQ9G1iH";"NONE";"guest";"NONE";"1";"2024-05-29 01:04:53";"2024-05-29 01:04:53"
"75a3274d-e23c-11ee-b616-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"YPhxaOoK3yblkRMs";"https://localhost:44345/subscription-checkout?sessionid=sub_1OuKKYDhgP60CL9xFFHfNAyC&id=YPhxaOoK3yblkRMs";"silver";"sub_1OuKKYDhgP60CL9xFFHfNAyC";"0";"";"2024-03-14 19:52:59"
"766b056e-40b2-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"Ob4O2Jo2yZ0nN87O";"NONE";"guest";"NONE";"1";"2024-07-13 00:54:30";"2024-07-13 00:54:30"
