"Id";"SearchId";"LineNbr";"Line";"CreateDate"
"1044430d-a5db-11ef-99ce-0af7a01f52e9";"10437e1e-a5db-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""harris"",""value"":27130},""details"":[{""name"":""Search Type"",""text"":""All Civil Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-11-18 18:29:36"
"10df4661-a5db-11ef-99ce-0af7a01f52e9";"10dec5a2-a5db-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""collin"",""value"":26550},""details"":[{""name"":""Search Type"",""text"":""criminal case records"",""value"":""0""}],""start"":1730917776936,""end"":1731004176936}";"2024-11-18 18:29:37"
"11a80dab-6b01-11ef-99ce-0af7a01f52e9";"11a77fe0-6b01-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""collin"",""value"":26550},""details"":[{""name"":""Search Type"",""text"":""criminal case records"",""value"":""0""}],""start"":1725051775140,""end"":1725138175140}";"2024-09-04 21:03:00"
"11c81d71-2292-11ef-99ce-0af7a01f52e9";"11c73469-2292-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-06-04 16:47:03"
"11e02db3-5c0d-11ef-99ce-0af7a01f52e9";"11df1101-5c0d-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1723148463206,""end"":1723234863204}";"2024-08-16 20:21:07"
"12c0c909-0bb1-11ef-99ce-0af7a01f52e9";"12c03eb6-0bb1-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-05-06 14:01:02"
"13f59ed8-5c0d-11ef-99ce-0af7a01f52e9";"13f515aa-5c0d-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""collin"",""value"":26550},""details"":[{""name"":""Search Type"",""text"":""criminal case records"",""value"":""0""}],""start"":1722802866628,""end"":1722889266628}";"2024-08-16 20:21:11"
"152ff398-4aa9-11ef-99ce-0af7a01f52e9";"152f1630-4aa9-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""harris"",""value"":27130},""details"":[{""name"":""Search Type"",""text"":""All Civil Courts"",""value"":""0""}],""start"":1719878400000,""end"":1719964800000}";"2024-07-25 17:12:33"
"17a77f34-c5d4-11ee-be26-0af7a01f52e9";"17a6b38c-c5d4-11ee-be26-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-02-07 16:15:21"
"17d46c0d-faa3-11ee-b616-0af7a01f52e9";"17d40c8d-faa3-11ee-b616-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-04-14 21:08:08"
"1bc87cf8-2d12-11ef-99ce-0af7a01f52e9";"1bc7f905-2d12-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1718155659952,""end"":1718242059952}";"2024-06-18 01:28:47"
"1bce610e-c3c4-11ee-be26-0af7a01f52e9";"1bcdec07-c3c4-11ee-be26-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-02-05 01:15:54"
"1c3273f0-1ddc-11ef-99ce-0af7a01f52e9";"1c3201b0-1ddc-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-05-29 16:54:27"
"1cb95adb-c3b7-11ee-be26-0af7a01f52e9";"1cb8bd15-c3b7-11ee-be26-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-02-04 23:42:52"
"1d3deb5d-0dbb-11ef-99ce-0af7a01f52e9";"1d3d7472-0dbb-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-05-09 04:17:57"
"1df2ef88-c3c4-11ee-be26-0af7a01f52e9";"1df255ac-c3c4-11ee-be26-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-02-05 01:15:57"
"1e0d69cc-c230-11ee-be26-0af7a01f52e9";"1e0cabed-c230-11ee-be26-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-02-03 01:04:01"
"1ed411e4-5fca-11ef-99ce-0af7a01f52e9";"1ed39667-5fca-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-08-21 14:31:57"
"20419487-a5e6-11ef-99ce-0af7a01f52e9";"20412dc8-a5e6-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-11-18 19:48:47"
"20ca28fb-5fca-11ef-99ce-0af7a01f52e9";"20c9bee3-5fca-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""harris"",""value"":27130},""details"":[{""name"":""Search Type"",""text"":""All Civil Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-08-21 14:32:00"
"2253571f-a5e6-11ef-99ce-0af7a01f52e9";"2252cb62-a5e6-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""harris"",""value"":27130},""details"":[{""name"":""Search Type"",""text"":""All Civil Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-11-18 19:48:50"
"22ceb898-5fca-11ef-99ce-0af7a01f52e9";"22ce336c-5fca-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1723041121122,""end"":1723127521120}";"2024-08-21 14:32:04"
"23468124-0c0a-11ef-99ce-0af7a01f52e9";"234610a2-0c0a-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-05-07 00:38:35"
"238def37-1f92-11ef-99ce-0af7a01f52e9";"238d729e-1f92-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""denton"",""value"":26730},""details"":[{""name"":""Court Type"",""text"":""All County Courts"",""value"":""9""},{""name"":""Case Type"",""text"":""JP And County Courts"",""value"":""0""}],""start"":1696118400000,""end"":1696636800000}";"2024-05-31 21:09:59"
"248eb70c-a5e6-11ef-99ce-0af7a01f52e9";"248e423f-a5e6-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""harris-jp"",""value"":32190},""details"":[{""name"":""Court Selection"",""text"":""All JP Courts"",""value"":""0""}],""start"":1731440933428,""end"":1731527333428}";"2024-11-18 19:48:54"
"25046ef6-5fca-11ef-99ce-0af7a01f52e9";"2503dfa2-5fca-11ef-99ce-0af7a01f52e9";1;"{""state"":""tx"",""county"":{""name"":""collin"",""value"":26550},""details"":[{""name"":""Search Type"",""text"":""criminal case records"",""value"":""0""}],""start"":1723559524847,""end"":1723645924847}";"2024-08-21 14:32:08"
